time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-12T10:59:17.543Z,-6.572,150.6005,10,5,mb,,83,2.831,1.06,us,us700034x8,2019-04-12T11:18:31.040Z,"122km ESE of Kandrian, Papua New Guinea",earthquake,8.3,1.8,0.1,32,reviewed,us,us
2019-04-12T10:43:33.750Z,44.6437,-114.4126,5,3.4,ml,,76,1.08,0.73,us,us700034x2,2019-04-13T01:03:44.947Z,"21km NW of Challis, Idaho",earthquake,3.1,2,0.036,100,reviewed,us,us
2019-04-12T10:21:25.240Z,-3.862,131.5683,10,4.9,mb,,101,1.157,0.85,us,us700034wx,2019-04-12T12:15:39.040Z,"238km NNW of Tual, Indonesia",earthquake,6.9,1.2,0.063,80,reviewed,us,us
2019-04-12T09:27:50.663Z,30.1695,87.3838,10,4.5,mb,,76,3.282,1.01,us,us700034w6,2019-04-12T13:32:14.040Z,"105km NNE of Ngamring, China",earthquake,8.6,1.9,0.061,78,reviewed,us,us
2019-04-12T08:57:51.318Z,43.6497,139.9083,213.94,4.2,mb,,61,1.996,0.63,us,us700034vr,2019-04-13T04:59:38.040Z,"85km NW of Yoichi, Japan",earthquake,9.2,9,0.083,40,reviewed,us,us
2019-04-12T07:55:12.651Z,12.9687,-90.2682,35,4.4,mb,,164,1.673,0.96,us,us700034ud,2019-04-12T08:12:51.040Z,"83km SW of Acajutla, El Salvador",earthquake,5.1,2,0.06,80,reviewed,us,us
2019-04-12T07:30:05.594Z,25.8246,141.2731,542.77,4.6,mb,,112,1.506,0.65,us,us700034u1,2019-04-12T07:48:54.040Z,"115km N of Iwo Jima, Japan",earthquake,11.2,8.9,0.05,119,reviewed,us,us
2019-04-12T07:23:16.484Z,59.2046,-137.6697,2.4,2.5,ml,,,,0.83,ak,ak0194ot4ecg,2019-04-12T15:25:41.579Z,"123km ESE of Yakutat, Alaska",ice quake,,0.5,,,automatic,ak,ak
2019-04-12T06:59:24.330Z,18.1531,-68.3256,114,2.67,md,9,205,1.2247,0.7,pr,pr2019102004,2019-04-13T05:02:00.040Z,"68km S of Boca de Yuma, Dominican Republic",earthquake,9.01,4.24,0.32,8,reviewed,pr,pr
2019-04-12T06:26:01.418Z,26.2184,129.4949,2.8,4.9,mb,,70,1.256,0.86,us,us700034tc,2019-04-12T06:48:08.040Z,"156km ESE of Nago, Japan",earthquake,6.7,5.3,0.078,52,reviewed,us,us
2019-04-12T05:12:34.510Z,12.6432,-87.9252,63.87,4.4,mb,,166,0.884,0.82,us,us700034t0,2019-04-12T05:55:08.040Z,"52km WSW of Jiquilillo, Nicaragua",earthquake,8.1,13.1,0.069,61,reviewed,us,us
2019-04-12T04:21:47.827Z,64.5332,-159.5215,4.1,3,ml,,,,0.62,ak,ak0194orbqim,2019-04-12T04:40:12.040Z,"95km NE of Unalakleet, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-04-12T03:51:21.610Z,31.0989,-87.3423,5,2.6,ml,,222,0.129,0.61,us,us700034sa,2019-04-13T13:33:46.695Z,"13km NW of Flomaton, Alabama",earthquake,1.5,1.9,0.128,8,reviewed,us,us
2019-04-12T03:46:36.630Z,19.9645,121.4608,10,4.8,mb,,113,2.861,1.02,us,us700034rw,2019-04-12T04:03:55.040Z,"59km SW of Sabtang, Philippines",earthquake,9,1.9,0.062,81,reviewed,us,us
2019-04-12T03:37:36.941Z,60.788,-149.3356,27.8,2.8,ml,,,,0.57,ak,ak0194oqtpga,2019-04-12T20:56:20.040Z,"35km W of Whittier, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-04-12T03:21:11.969Z,59.7855,-153.1506,98.1,2.8,ml,,,,0.62,ak,ak0194oqq82n,2019-04-12T21:25:12.040Z,"74km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-04-12T03:08:54.660Z,18.8386,-67.3036,45,2.63,md,12,274,0.418,0.45,pr,pr2019102002,2019-04-12T07:48:37.396Z,"44km NNW of San Antonio, Puerto Rico",earthquake,1.95,5.01,0.27,12,reviewed,pr,pr
2019-04-12T02:47:54.861Z,69.5775,-144.2045,0,3,ml,,,,0.83,ak,ak0194oqag7z,2019-04-12T04:41:57.040Z,"65km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-04-12T02:44:00.920Z,23.8484,124.9974,35,4.5,mb,,123,1.915,1.14,us,us700034r9,2019-04-12T10:46:43.255Z,"101km ESE of Ishigaki, Japan",earthquake,5.4,1.9,0.156,12,reviewed,us,us
2019-04-12T02:36:47.587Z,59.7714,-153.0591,96,2.5,ml,,,,0.7,ak,ak0194oq830w,2019-04-12T02:41:39.792Z,"68km W of Anchor Point, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-04-12T02:28:52.435Z,-18.0117,-179.3023,616.53,4.6,mb,,55,2.532,0.94,us,us700034r4,2019-04-12T12:33:50.680Z,"225km SE of Lambasa, Fiji",earthquake,13.1,7.1,0.089,38,reviewed,us,us
